PassengerID	Gender	Age	Siblings Onboard	Embarked	Class
1	Male	22	1	S	3rd
2	Female	38	1	C	1st
3	Female	26	0	S	3rd
4	Female	35	1	S	1st
5	Male	35	0	S	3rd
6	Male	29	0	Q	3rd
7	Male	54	0	S	1st
8	Male	2	3	S	3rd
9	Female	27	0	S	3rd
10	Female	14	1	C	2nd
11	Female	4	1	S	3rd
12	Female	58	0	S	1st
13	Male	20	0	S	3rd
14	Male	39	1	S	3rd
15	Female	14	0	S	3rd
16	Female	55	0	S	2nd
17	Male	2	4	Q	3rd
18	Male	29	0	S	2nd
19	Female	31	1	S	3rd
20	Female	29	0	C	3rd
21	Male	35	0	S	2nd
22	Male	34	0	S	2nd
23	Female	15	0	Q	3rd
24	Male	28	0	S	1st
25	Female	8	3	S	3rd
26	Female	38	1	S	3rd
27	Male	29	0	C	3rd
28	Male	19	3	S	1st
29	Female	29	0	Q	3rd
30	Male	29	0	S	3rd
31	Male	40	0	C	1st
32	Female	29	1	C	1st
33	Female	29	0	Q	3rd
34	Male	66	0	S	2nd
35	Male	28	1	C	1st
36	Male	42	1	S	1st
37	Male	29	0	C	3rd
38	Male	21	0	S	3rd
39	Female	18	2	S	3rd
40	Female	14	1	C	3rd
41	Female	40	1	S	3rd
42	Female	27	1	S	2nd
43	Male	29	0	C	3rd
44	Female	3	1	C	2nd
45	Female	19	0	Q	3rd
46	Male	29	0	S	3rd
47	Male	29	1	Q	3rd
48	Female	29	0	Q	3rd
49	Male	29	2	C	3rd
50	Female	18	1	S	3rd
51	Male	7	4	S	3rd
52	Male	21	0	S	3rd
53	Female	49	1	C	1st
54	Female	29	1	S	2nd
55	Male	65	0	C	1st
56	Male	29	0	S	1st
57	Female	21	0	S	2nd
58	Male	28.5	0	C	3rd
59	Female	5	1	S	2nd
60	Male	11	5	S	3rd
61	Male	22	0	C	3rd
62	Female	38	0	Q	1st
63	Male	45	1	S	1st
64	Male	4	3	S	3rd
65	Male	29	0	C	1st
66	Male	29	1	C	3rd
67	Female	29	0	S	2nd
68	Male	19	0	S	3rd
69	Female	17	4	S	3rd
70	Male	26	2	S	3rd
71	Male	32	0	S	2nd
72	Female	16	5	S	3rd
73	Male	21	0	S	2nd
74	Male	26	1	C	3rd
75	Male	32	0	S	3rd
76	Male	25	0	S	3rd
77	Male	29	0	S	3rd
78	Male	29	0	S	3rd
79	Male	0.83	0	S	2nd
80	Female	30	0	S	3rd
81	Male	22	0	S	3rd
82	Male	29	0	S	3rd
83	Female	29	0	Q	3rd
84	Male	28	0	S	1st
85	Female	17	0	S	2nd
86	Female	33	3	S	3rd
87	Male	16	1	S	3rd
88	Male	29	0	S	3rd
89	Female	23	3	S	1st
90	Male	24	0	S	3rd
91	Male	29	0	S	3rd
92	Male	20	0	S	3rd
93	Male	46	1	S	1st
94	Male	26	1	S	3rd
95	Male	59	0	S	3rd
96	Male	29	0	S	3rd
97	Male	71	0	C	1st
98	Male	23	0	C	1st
99	Female	34	0	S	2nd
100	Male	34	1	S	2nd
101	Female	28	0	S	3rd
102	Male	29	0	S	3rd
103	Male	21	0	S	1st
104	Male	33	0	S	3rd
105	Male	37	2	S	3rd
106	Male	28	0	S	3rd
107	Female	21	0	S	3rd
108	Male	29	0	S	3rd
109	Male	38	0	S	3rd
110	Female	29	1	Q	3rd
111	Male	47	0	S	1st
112	Female	14.5	1	C	3rd
113	Male	22	0	S	3rd
114	Female	20	1	S	3rd
115	Female	17	0	C	3rd
116	Male	21	0	S	3rd
117	Male	70.5	0	Q	3rd
118	Male	29	1	S	2nd
119	Male	24	0	C	1st
120	Female	2	4	S	3rd
121	Male	21	2	S	2nd
122	Male	29	0	S	3rd
123	Male	32.5	1	C	2nd
124	Female	32.5	0	S	2nd
125	Male	54	0	S	1st
126	Male	12	1	C	3rd
127	Male	29	0	Q	3rd
128	Male	24	0	S	3rd
129	Female	29	1	C	3rd
130	Male	45	0	S	3rd
131	Male	33	0	C	3rd
132	Male	20	0	S	3rd
133	Female	47	1	S	3rd
134	Female	29	1	S	2nd
135	Male	25	0	S	2nd
136	Male	23	0	C	2nd
137	Female	19	0	S	1st
138	Male	37	1	S	1st
139	Male	16	0	S	3rd
140	Male	24	0	C	1st
141	Female	29	0	C	3rd
142	Female	22	0	S	3rd
143	Female	24	1	S	3rd
144	Male	19	0	Q	3rd
145	Male	18	0	S	2nd
146	Male	19	1	S	2nd
147	Male	27	0	S	3rd
148	Female	9	2	S	3rd
149	Male	36.5	0	S	2nd
150	Male	42	0	S	2nd
151	Male	51	0	S	2nd
152	Female	22	1	S	1st
153	Male	55.5	0	S	3rd
154	Male	40.5	0	S	3rd
155	Male	29	0	S	3rd
156	Male	51	0	C	1st
157	Female	16	0	Q	3rd
158	Male	30	0	S	3rd
159	Male	29	0	S	3rd
160	Male	29	8	S	3rd
161	Male	44	0	S	3rd
162	Female	40	0	S	2nd
163	Male	26	0	S	3rd
164	Male	17	0	S	3rd
165	Male	1	4	S	3rd
166	Male	9	0	S	3rd
167	Female	29	0	S	1st
168	Female	45	1	S	3rd
169	Male	29	0	S	1st
170	Male	28	0	S	3rd
171	Male	61	0	S	1st
172	Male	4	4	Q	3rd
173	Female	1	1	S	3rd
174	Male	21	0	S	3rd
175	Male	56	0	C	1st
176	Male	18	1	S	3rd
177	Male	29	3	S	3rd
178	Female	50	0	C	1st
179	Male	30	0	S	2nd
180	Male	36	0	S	3rd
181	Female	29	8	S	3rd
182	Male	29	0	C	2nd
183	Male	9	4	S	3rd
184	Male	1	2	S	2nd
185	Female	4	0	S	3rd
186	Male	29	0	S	1st
187	Female	29	1	Q	3rd
188	Male	45	0	S	1st
189	Male	40	1	Q	3rd
190	Male	36	0	S	3rd
191	Female	32	0	S	2nd
192	Male	19	0	S	2nd
193	Female	19	1	S	3rd
194	Male	3	1	S	2nd
195	Female	44	0	C	1st
196	Female	58	0	C	1st
197	Male	29	0	Q	3rd
198	Male	42	0	S	3rd
199	Female	29	0	Q	3rd
200	Female	24	0	S	2nd
201	Male	28	0	S	3rd
202	Male	29	8	S	3rd
203	Male	34	0	S	3rd
204	Male	45.5	0	C	3rd
205	Male	18	0	S	3rd
206	Female	2	0	S	3rd
207	Male	32	1	S	3rd
208	Male	26	0	C	3rd
209	Female	16	0	Q	3rd
210	Male	40	0	C	1st
211	Male	24	0	S	3rd
212	Female	35	0	S	2nd
213	Male	22	0	S	3rd
214	Male	30	0	S	2nd
215	Male	29	1	Q	3rd
216	Female	31	1	C	1st
217	Female	27	0	S	3rd
218	Male	42	1	S	2nd
219	Female	32	0	C	1st
220	Male	30	0	S	2nd
221	Male	16	0	S	3rd
222	Male	27	0	S	2nd
223	Male	51	0	S	3rd
224	Male	29	0	S	3rd
225	Male	38	1	S	1st
226	Male	22	0	S	3rd
227	Male	19	0	S	2nd
228	Male	20.5	0	S	3rd
229	Male	18	0	S	2nd
230	Female	29	3	S	3rd
231	Female	35	1	S	1st
232	Male	29	0	S	3rd
233	Male	59	0	S	2nd
234	Female	5	4	S	3rd
235	Male	24	0	S	2nd
236	Female	29	0	S	3rd
237	Male	44	1	S	2nd
238	Female	8	0	S	2nd
239	Male	19	0	S	2nd
240	Male	33	0	S	2nd
241	Female	29	1	C	3rd
242	Female	29	1	Q	3rd
243	Male	29	0	S	2nd
244	Male	22	0	S	3rd
245	Male	30	0	C	3rd
246	Male	44	2	Q	1st
247	Female	25	0	S	3rd
248	Female	24	0	S	2nd
249	Male	37	1	S	1st
250	Male	54	1	S	2nd
251	Male	29	0	S	3rd
252	Female	29	1	S	3rd
253	Male	62	0	S	1st
254	Male	30	1	S	3rd
255	Female	41	0	S	3rd
256	Female	29	0	C	3rd
257	Female	29	0	C	1st
258	Female	30	0	S	1st
259	Female	35	0	C	1st
260	Female	50	0	S	2nd
261	Male	29	0	Q	3rd
262	Male	3	4	S	3rd
263	Male	52	1	S	1st
264	Male	40	0	S	1st
265	Female	29	0	Q	3rd
266	Male	36	0	S	2nd
267	Male	16	4	S	3rd
268	Male	25	1	S	3rd
269	Female	58	0	S	1st
270	Female	35	0	S	1st
271	Male	29	0	S	1st
272	Male	25	0	S	3rd
273	Female	41	0	S	2nd
274	Male	37	0	C	1st
275	Female	29	0	Q	3rd
276	Female	63	1	S	1st
277	Female	45	0	S	3rd
278	Male	29	0	S	2nd
279	Male	7	4	Q	3rd
280	Female	35	1	S	3rd
281	Male	65	0	Q	3rd
282	Male	28	0	S	3rd
283	Male	16	0	S	3rd
284	Male	19	0	S	3rd
285	Male	29	0	S	1st
286	Male	33	0	C	3rd
287	Male	30	0	S	3rd
288	Male	22	0	S	3rd
289	Male	42	0	S	2nd
290	Female	22	0	Q	3rd
291	Female	26	0	S	1st
292	Female	19	1	C	1st
293	Male	36	0	C	2nd
294	Female	24	0	S	3rd
295	Male	24	0	S	3rd
296	Male	29	0	C	1st
297	Male	23.5	0	C	3rd
298	Female	2	1	S	1st
299	Male	29	0	S	1st
300	Female	50	0	C	1st
301	Female	29	0	Q	3rd
302	Male	29	2	Q	3rd
303	Male	19	0	S	3rd
304	Female	29	0	Q	2nd
305	Male	29	0	S	3rd
306	Male	0.92	1	S	1st
